playerID,lgID,tmID,firstName,lastName,year,GP,W,L,T_OL,SHO,GA,SA,height,weight,birthCountry
abbotge01,NHL,BOS,George,Abbott,1943,1,0,1,0,0,7,NA,67,153,Canada
abrahch01,WHA,NEW,Christer,Abrahamsson,1974,16,8,6,1,1,47,504,72,180,Sweden
abrahch01,WHA,NEW,Christer,Abrahamsson,1975,41,18,18,2,2,136,1221,72,180,Sweden
abrahch01,WHA,NEW,Christer,Abrahamsson,1976,45,15,22,4,0,159,1438,72,180,Sweden
adamsjo02,NHL,BOS,John,Adams,1972,14,9,3,1,1,39,NA,72,200,Canada
adamsjo02,NHL,WAS,John,Adams,1974,8,0,7,0,0,46,NA,72,200,Canada
aebisda01,NHL,COL,David,Aebischer,2000,26,12,7,3,3,52,538,73,185,Switzerland
aebisda01,NHL,COL,David,Aebischer,2001,21,13,6,0,2,37,538,73,185,Switzerland
aebisda01,NHL,COL,David,Aebischer,2002,22,7,12,0,1,50,593,73,185,Switzerland
aebisda01,NHL,COL,David,Aebischer,2003,62,32,19,9,4,129,1703,73,185,Switzerland
aebisda01,NHL,COL,David,Aebischer,2005,43,25,14,2,3,123,1233,73,185,Switzerland
aebisda01,NHL,MTL,David,Aebischer,2005,7,4,3,0,0,26,240,73,185,Switzerland
aebisda01,NHL,MTL,David,Aebischer,2006,32,13,12,3,0,93,929,73,185,Switzerland
aebisda01,NHL,PHO,David,Aebischer,2007,1,0,1,0,0,3,33,73,185,Switzerland
aikendo01,NHL,MTL,Don,Aiken,1957,1,0,1,0,0,6,NA,71,165,USA
aitkean01,NHL,NYR,Andy,Aitkenhead,1932,48,23,17,8,3,107,NA,69,145,Scotland
aitkean01,NHL,NYR,Andy,Aitkenhead,1933,48,21,19,8,7,113,NA,69,145,Scotland
aitkean01,NHL,NYR,Andy,Aitkenhead,1934,10,3,7,0,1,37,NA,69,145,Scotland
allenbr01,NHL,STL,Bryan,Allen,2011,NA,NA,NA,NA,NA,NA,NA,76,220,Canada
almasre01,NHL,DET,Red,Almas,1946,1,0,1,0,0,5,NA,69,160,Canada
almasre01,NHL,CHI,Red,Almas,1950,1,0,1,0,0,5,NA,69,160,Canada
almasre01,NHL,DET,Red,Almas,1952,1,0,0,1,0,3,NA,69,160,Canada
andercr01,NHL,CHI,Craig,Anderson,2002,6,0,3,2,0,18,125,74,180,USA
andercr01,NHL,CHI,Craig,Anderson,2003,21,6,14,0,1,57,602,74,180,USA
andercr01,NHL,CHI,Craig,Anderson,2005,29,6,12,4,1,86,757,74,180,USA
andercr01,NHL,FLO,Craig,Anderson,2006,5,1,1,1,0,8,116,74,180,USA
andercr01,NHL,FLO,Craig,Anderson,2007,17,8,6,1,2,35,535,74,180,USA
andercr01,NHL,FLO,Craig,Anderson,2008,31,15,7,5,3,74,977,74,180,USA
andercr01,NHL,COL,Craig,Anderson,2009,71,38,25,7,7,186,2233,74,180,USA
andercr01,NHL,COL,Craig,Anderson,2010,33,13,15,3,0,99,957,74,180,USA
andercr01,NHL,OTT,Craig,Anderson,2010,18,11,5,1,2,36,589,74,180,USA
andercr01,NHL,OTT,Craig,Anderson,2011,63,33,22,6,3,165,1917,74,180,USA
anderlo01,NHL,NYR,Lorne,Anderson,1951,3,1,2,0,0,18,NA,71,166,Canada
archayv01,WHA,PHB,Yves,Archambault,1972,6,1,3,0,0,17,122,71,170,Canada
archayv01,WHA,VAB,Yves,Archambault,1973,5,1,4,0,0,27,183,71,170,Canada
askeyto01,NHL,ANA,Tom,Askey,1997,7,0,1,2,0,12,113,73,195,USA
askeyto01,NHL,ANA,Tom,Askey,1998,NA,NA,NA,NA,NA,NA,NA,73,195,USA
astroha01,NHL,NYR,Hardy,Astrom,1977,4,2,2,0,0,14,NA,72,170,Sweden
astroha01,NHL,COR,Hardy,Astrom,1979,49,9,27,6,0,161,NA,72,170,Sweden
astroha01,NHL,COR,Hardy,Astrom,1980,30,6,15,6,0,103,NA,72,170,Sweden
